0   1   2
0   2   1
0   3   2
0   6   1
0   25   2
0   27   2
1   6   2
1   8   2
1   9   1
1   14   2
1   25   1
2   3   2
2   4   1
2   5   2
2   27   2
2   29   2
3   8   2
3   10   2
3   11   1
3   27   1
4   5   2
4   6   1
4   7   2
4   29   2
4   31   2
5   10   2
5   12   2
5   13   1
5   29   1
6   7   2
6   25   2
6   31   2
7   12   2
7   14   2
7   15   1
7   31   1
8   9   2
8   10   1
8   11   2
8   14   1
9   14   2
9   16   2
9   17   1
9   22   2
10   11   2
10   12   1
10   13   2
11   16   2
11   18   2
11   19   1
12   13   2
12   14   1
12   15   2
13   18   2
13   20   2
13   21   1
14   15   2
15   20   2
15   22   2
15   23   1
16   17   2
16   18   1
16   19   2
16   22   1
17   22   2
17   24   2
17   25   1
17   30   2
18   19   2
18   20   1
18   21   2
19   24   2
19   26   2
19   27   1
20   21   2
20   22   1
20   23   2
21   26   2
21   28   2
21   29   1
22   23   2
23   28   2
23   30   2
23   31   1
24   25   2
24   26   1
24   27   2
24   30   1
25   30   2
26   27   2
26   28   1
26   29   2
28   29   2
28   30   1
28   31   2
30   31   2
